id,case,date
10097071,HY285524,06/02/2015 09:41:19 PM
21907,HY291065,06/07/2015 03:50:00 AM
21908,HY291065,06/07/2015 03:50:00 AM
10156667,HY345298,07/18/2015 03:17:00 AM
10244875,HY433114,09/22/2015 12:50:00 AM
22430,HY551683,12/27/2015 02:05:00 PM
10047709,HY237154,04/26/2015 09:58:36 PM
22335,HY346207,07/04/2015 04:00:00 PM
22336,HY346207,07/04/2015 04:00:00 PM
22337,HY346207,07/04/2015 04:00:00 PM
22338,HZ148668,12/10/2015 05:30:00 PM
22362,HY392281,09/04/2015 04:09:00 PM
22387,HY471497,10/23/2015 03:42:00 PM
22407,HY471252,10/23/2015 02:01:00 PM
21714,HY102349,01/03/2015 05:50:00 AM
21715,HY105400,01/05/2015 10:11:00 PM
21716,HY105478,01/06/2015 12:49:00 AM
21717,HY106072,01/06/2015 03:38:00 PM
21718,HY106072,01/06/2015 05:53:00 PM
21719,HY108387,01/08/2015 09:30:00 PM
21721,HY109537,01/10/2015 12:25:00 AM
21722,HY106555,01/09/2015 04:20:00 PM
21723,HY114053,01/13/2015 10:10:00 PM
21724,HY113713,01/13/2015 05:40:00 PM
21725,HY115036,01/14/2015 05:22:00 PM
21727,HY117698,01/16/2015 07:22:00 PM
21728,HY118469,01/17/2015 01:26:00 PM
21729,HY118913,01/17/2015 07:10:00 PM
21730,HY119535,01/18/2015 12:20:00 PM
21731,HY121768,01/20/2015 10:44:00 AM
21732,HY122767,01/21/2015 12:42:00 AM
21733,HY122962,01/21/2015 09:25:00 AM
21734,HY123702,01/21/2015 07:39:00 PM
21735,HY126186,01/23/2015 07:25:00 PM
21736,HY126149,01/23/2015 08:18:00 PM
21737,HY126583,01/24/2015 02:13:00 AM
21738,HY128133,01/27/2015 11:54:00 AM
21739,HY130523,01/27/2015 09:00:00 PM
21741,HY132431,01/29/2015 02:06:00 AM
21742,HY132441,01/29/2015 03:20:00 AM
21743,HY134398,01/30/2015 05:52:00 PM
21744,HY135181,01/31/2015 12:02:00 PM
21745,HY136615,02/01/2015 08:53:00 PM
21746,HY136871,02/02/2015 09:16:00 AM
21748,HY139558,02/04/2015 04:07:00 PM
21749,HY126100,01/30/2015 06:53:00 PM
21750,HY135441,02/02/2015 11:33:00 PM
21752,HY144738,02/08/2015 11:26:00 PM
21753,HY146099,02/09/2015 09:31:00 PM
21755,HY144198,02/08/2015 12:15:00 PM
21756,HY146134,02/09/2015 09:56:00 PM
21757,HY145267,02/09/2015 11:10:00 AM
21758,HY147395,02/10/2015 10:25:00 PM
21759,HY152127,02/15/2015 04:21:00 AM
21760,HK649858,02/10/2015 12:00:00 AM
21761,HY157257,02/20/2015 03:17:00 AM
21762,HY158116,02/20/2015 06:41:00 PM
21763,HY159217,02/21/2015 05:44:00 PM
21764,HY160139,02/22/2015 03:20:00 PM
21765,HY163030,02/25/2015 06:37:00 AM
21767,HY163914,02/25/2015 07:45:00 PM
21768,HY163571,02/25/2015 03:09:00 PM
21769,HY169646,03/02/2015 07:20:00 PM
21772,HY174696,03/07/2015 01:52:00 AM
21773,HY174696,03/07/2015 01:52:00 AM
21774,HY175374,03/07/2015 04:41:00 PM
21775,HY176662,03/08/2015 06:33:00 PM
21776,HY177178,03/09/2015 09:36:00 AM
21777,HY177586,03/09/2015 02:52:00 PM
21778,HY177958,03/09/2015 07:41:00 PM
21779,HY178055,03/09/2015 07:53:00 PM
21780,HY185125,03/15/2015 04:49:00 AM
21781,HY185434,03/15/2015 01:21:00 PM
21782,HY185689,03/15/2015 07:27:00 PM
21783,HY185689,03/15/2015 07:28:00 PM
21784,HY186207,03/16/2015 03:11:00 AM
21785,HY186207,03/16/2015 03:11:00 AM
21786,HY190080,03/19/2015 12:49:00 AM
21787,HY190108,03/19/2015 02:26:00 AM
21788,HY190397,03/19/2015 11:20:00 AM
21789,HY191107,03/19/2015 09:19:00 PM
21790,HY192076,03/20/2015 05:14:00 PM
21791,HY193065,03/21/2015 12:32:00 PM
21792,HY193536,03/22/2015 09:53:00 AM
21793,HY194555,03/22/2015 09:33:00 PM
21794,HY196184,03/24/2015 06:55:00 AM
21795,HY198255,03/25/2015 06:24:00 PM
21796,HY199452,03/26/2015 05:59:00 PM
21797,HY199846,03/27/2015 02:04:00 AM
21798,HY201146,03/28/2015 02:13:00 AM
21799,HY202270,03/29/2015 02:27:00 AM
21800,HY203776,03/30/2015 02:50:00 PM
21801,HY204746,03/31/2015 10:55:00 AM
21802,HY204877,03/31/2015 12:19:00 PM
21803,HY206710,04/01/2015 07:05:00 PM
21804,HY207131,04/02/2015 12:51:00 AM
21805,HY207153,04/02/2015 02:26:00 AM
21806,HY208263,04/02/2015 09:08:00 PM
21807,HY208837,04/03/2015 12:08:00 PM
21808,HY209027,04/03/2015 02:37:00 PM
21809,HY210099,04/04/2015 12:18:00 PM
21810,HY210359,04/04/2015 05:07:00 PM
21811,HY214108,04/08/2015 02:53:00 AM
21812,HY214352,04/08/2015 11:37:00 AM
21813,HY214581,04/08/2015 02:25:00 PM
21814,HY217489,04/10/2015 11:16:00 PM
21815,HY218517,04/11/2015 09:27:00 PM
21817,HY201343,04/03/2015 07:00:00 AM
21818,HY132431,02/05/2015 07:00:00 AM
21819,HY222476,04/15/2015 03:16:00 AM
21820,HY226249,04/18/2015 12:55:00 AM
21821,HY226327,04/18/2015 01:22:00 AM
21822,HY227673,04/19/2015 05:38:00 AM
21823,HY227705,04/19/2015 06:35:00 AM
21824,HY227705,04/19/2015 06:35:00 AM
21825,HY229848,04/20/2015 10:17:00 PM
21826,HY229305,04/20/2015 03:54:00 PM
21827,HY229969,04/21/2015 02:35:00 AM
21828,HY231077,04/21/2015 10:11:00 PM
21829,HY230461,04/21/2015 01:49:00 PM
21830,HY233228,04/23/2015 06:10:00 PM
21831,HY233901,04/24/2015 10:20:00 AM
21832,HY234893,04/24/2015 11:21:00 PM
21833,HY234991,04/25/2015 02:26:00 AM
21835,HY236576,04/26/2015 01:15:00 PM
21836,HY239281,04/28/2015 03:30:00 PM
21839,HY240475,04/29/2015 02:01:00 PM
21840,HY240344,04/29/2015 12:45:00 PM
21842,HY241278,04/30/2015 07:37:00 AM
21843,HY242429,05/01/2015 12:44:00 AM
21844,HY243252,05/01/2015 06:15:00 PM
21845,HY243592,05/01/2015 11:30:00 PM
21846,HY243229,05/01/2015 05:14:00 PM
21848,HY243229,05/01/2015 05:34:00 PM
21849,HY244929,05/03/2015 01:05:00 AM
21852,HY248286,05/05/2015 04:49:00 PM
21853,HY251159,05/07/2015 08:15:00 PM
21854,HY253376,05/09/2015 01:22:00 PM
21855,HY254085,05/10/2015 12:35:00 AM
21856,HY250608,05/07/2015 01:04:00 PM
21857,HY213507,05/10/2015 07:00:00 AM
21858,HY254429,05/10/2015 10:42:00 AM
21860,HY259141,05/13/2015 08:05:00 PM
21861,HY259141,05/13/2015 11:23:00 PM
21862,HY260356,05/14/2015 07:24:00 PM
21863,HY262032,05/16/2015 01:20:00 AM
21866,HY265180,05/18/2015 12:16:00 PM
21867,HY267833,05/20/2015 11:44:00 AM
21868,HY268571,05/20/2015 08:12:00 PM
21874,HY267522,05/20/2015 02:53:00 PM
21875,HY269141,05/21/2015 12:12:00 PM
21876,HY271504,05/23/2015 01:46:00 AM
21877,HY270036,05/22/2015 05:33:00 PM
21878,HY271518,05/23/2015 02:51:00 AM
21879,HY271945,05/23/2015 01:15:00 PM
21880,HY272649,05/24/2015 12:01:00 AM
21881,HY272708,05/24/2015 12:48:00 AM
21882,HY272716,05/24/2015 01:35:00 AM
21883,HY273328,05/24/2015 05:25:00 PM
21884,HY273377,05/24/2015 04:45:00 PM
21885,HY273621,05/24/2015 08:20:00 PM
21886,HY274367,05/25/2015 02:33:00 PM
21887,HY274555,05/25/2015 07:46:00 PM
21888,HY274690,05/25/2015 08:38:00 PM
21889,HY242453,05/23/2015 06:19:00 PM
21890,HY278426,05/28/2015 02:40:00 PM
21891,HY278426,05/28/2015 02:40:00 PM
21892,HY279192,05/29/2015 02:00:00 AM
21893,HY280615,05/30/2015 02:04:00 AM
21894,HY280557,05/30/2015 01:06:00 AM
21895,HY280528,05/30/2015 01:41:00 AM
21896,HY282127,05/31/2015 12:49:00 PM
21897,HY282612,05/31/2015 07:48:00 PM
21898,HY282604,05/31/2015 07:58:00 PM
21899,HY283497,06/01/2015 03:00:00 PM
21900,HY280584,05/30/2015 03:24:00 PM
21901,HY283451,06/02/2015 02:29:00 PM
21902,HY286550,06/03/2015 04:50:00 PM
21903,HY288244,06/04/2015 10:31:00 PM
21904,HY289299,06/05/2015 08:24:00 PM
21905,HY289570,06/05/2015 11:27:00 PM
21906,HY289763,06/06/2015 02:13:00 AM
21909,HY293164,06/08/2015 07:52:00 PM
21910,HY294819,06/10/2015 12:44:00 AM
21911,HY295935,06/10/2015 08:35:00 PM
21912,HY295320,06/11/2015 03:45:00 PM
21913,HY297544,06/12/2015 12:45:00 AM
21914,HY297548,06/12/2015 01:45:00 AM
21915,HY259141,06/10/2015 12:01:00 AM
21916,HY297895,06/12/2015 12:00:00 PM
21917,HY298981,06/13/2015 05:48:00 AM
21918,HY300195,06/14/2015 12:35:00 AM
21923,HY300040,06/14/2015 12:05:00 AM
21924,HY283395,06/13/2015 04:45:00 PM
21925,HY301340,06/14/2015 10:16:00 PM
21926,HY301103,06/15/2015 01:11:00 AM
21927,HY302907,06/16/2015 04:31:00 AM
21928,HY304267,06/16/2015 10:44:00 PM
21929,HY303888,06/16/2015 06:12:00 PM
21930,HY305676,06/17/2015 11:38:00 PM
21931,HY305722,06/18/2015 12:24:00 AM
21932,HY306393,06/18/2015 03:02:00 PM
21933,HY306882,06/18/2015 10:33:00 PM
21934,HY306914,06/18/2015 10:46:00 PM
21935,HY308808,06/20/2015 12:02:00 PM
21936,HY309544,06/20/2015 11:15:00 PM
21937,HY309931,06/21/2015 10:10:00 AM
21939,HY312799,06/23/2015 02:06:00 PM
21940,HY313340,06/23/2015 08:57:00 PM
21941,HY313549,06/24/2015 12:49:00 AM
21942,HY314835,06/25/2015 12:35:00 AM
21943,HY315707,06/25/2015 05:25:00 PM
21944,HY317686,06/27/2015 04:08:00 AM
21945,HY318463,06/27/2015 07:43:00 PM
21946,HY319421,06/28/2015 02:38:00 PM
21947,HY317652,06/27/2015 02:20:00 PM
21948,HY320151,06/29/2015 04:11:00 AM
21950,HY321551,06/30/2015 02:28:00 AM
21951,HY322797,06/30/2015 11:38:00 PM
21952,HY324033,07/01/2015 10:18:00 PM
21953,HY324513,07/02/2015 07:30:00 PM
21954,HY325121,07/02/2015 09:06:00 PM
21955,HY325525,07/03/2015 01:20:00 AM
21956,HY325478,07/03/2015 01:00:00 AM
21957,HY326221,07/03/2015 05:31:00 PM
21958,HY327907,07/05/2015 01:19:00 AM
21959,HY328200,07/05/2015 07:00:00 AM
21960,HY328200,07/05/2015 06:10:00 AM
21961,HY328047,07/05/2015 04:04:00 AM
21962,HY328791,07/05/2015 05:00:00 PM
21963,HY328164,07/05/2015 05:00:00 AM
21964,HY327794,07/05/2015 01:56:00 AM
21965,HY330255,07/06/2015 05:32:00 PM
21966,HY330978,07/07/2015 10:51:00 AM
21967,HY332064,07/08/2015 03:09:00 AM
21968,HY332515,07/08/2015 05:31:00 PM
21969,HY334393,07/09/2015 09:58:00 PM
21970,HY334449,07/09/2015 10:24:00 PM
21971,HY335770,07/10/2015 11:55:00 PM
21972,HY335913,07/11/2015 03:39:00 AM
21973,HY335962,07/11/2015 03:30:00 AM
21974,HY336431,07/11/2015 02:38:00 PM
21975,HY336496,07/11/2015 02:38:00 PM
21976,HY337858,07/12/2015 05:21:00 PM
21977,HY338482,07/13/2015 04:58:00 AM
21978,HY342105,07/15/2015 06:30:00 PM
21979,HY342285,07/15/2015 09:00:00 PM
21980,HY342488,07/16/2015 12:17:00 AM
21982,HY343941,07/17/2015 04:43:00 AM
21983,HY344413,07/17/2015 02:30:00 PM
21984,HY344710,07/17/2015 05:23:00 PM
21985,HY344710,07/17/2015 05:23:00 PM
21988,HY345202,07/18/2015 01:20:00 AM
21989,HY345337,07/18/2015 04:59:00 AM
21990,HY346232,07/19/2015 12:01:00 AM
21991,HY348984,07/20/2015 11:40:00 PM
21992,HY350286,07/21/2015 09:39:00 PM
21993,HY354142,07/24/2015 06:45:00 PM
21994,HY354568,07/25/2015 12:47:00 AM
21995,HY355695,07/25/2015 11:22:00 PM
21996,HY355926,07/26/2015 02:34:00 AM
21997,HY355926,07/26/2015 02:34:00 AM
21998,HY356151,07/26/2015 10:14:00 AM
21999,HY356849,07/26/2015 08:28:00 PM
22001,HY359179,07/28/2015 02:58:00 PM
22002,HY346207,07/04/2015 04:00:00 PM
22006,HY361399,07/30/2015 04:00:00 AM
22011,HY362660,07/31/2015 12:10:00 AM
22012,HY365437,08/02/2015 01:38:00 AM
22013,HY365746,08/02/2015 05:00:00 AM
22014,HY365558,08/02/2015 09:40:00 AM
22015,HY281912,07/17/2015 07:13:00 AM
22016,HY369622,08/05/2015 06:55:00 AM
22017,HY370813,08/05/2015 11:49:00 PM
22018,HY370898,08/06/2015 02:29:00 AM
22019,HY335410,07/10/2015 05:04:00 PM
22020,HY371882,08/06/2015 06:52:00 PM
22021,HY371882,08/06/2015 07:43:00 PM
22022,HY372265,08/07/2015 02:42:00 AM
22023,HY373507,08/07/2015 11:52:00 PM
22024,HY362815,08/03/2015 12:01:00 AM
22025,HY364159,08/04/2015 12:01:00 AM
22026,HY375951,08/09/2015 11:26:00 PM
22027,HY374842,08/10/2015 01:49:00 PM
22028,HY378773,08/11/2015 11:33:00 PM
22029,HY380282,08/13/2015 03:10:00 AM
22030,HY380866,08/13/2015 03:42:00 PM
22031,HY382200,08/14/2015 03:20:00 PM
22032,HY383014,08/15/2015 02:37:00 AM
22033,HY382553,08/15/2015 02:17:00 PM
22034,HY383024,08/15/2015 03:05:00 AM
22035,HY384750,08/16/2015 01:52:00 PM
22036,HY385366,08/16/2015 10:26:00 PM
22037,HY386808,08/17/2015 09:45:00 PM
22038,HY386779,08/17/2015 09:59:00 PM
22039,HY385366,08/17/2015 04:08:00 PM
22040,HY388840,08/19/2015 02:09:00 PM
22041,HY389714,08/20/2015 02:49:00 AM
22042,HY391099,08/21/2015 02:36:00 AM
22044,HY392002,08/21/2015 06:24:00 PM
22045,HY392566,08/22/2015 04:43:00 AM
22046,HY393536,08/22/2015 10:04:00 PM
22047,HY393931,08/23/2015 06:13:00 AM
22048,HY394808,08/23/2015 08:51:00 PM
22049,HY394828,08/23/2015 09:30:00 PM
22050,HX266828,08/20/2015 09:17:00 AM
22051,HY396147,08/24/2015 08:45:00 PM
22052,HY397193,08/25/2015 06:20:00 PM
22053,HY395938,08/25/2015 06:53:00 PM
22054,HY397524,08/25/2015 10:57:00 PM
22055,HY398643,08/26/2015 08:30:00 PM
22056,HY397947,08/26/2015 11:37:00 AM
22057,HY397947,08/26/2015 02:07:00 PM
22059,HY401623,08/29/2015 04:07:00 AM
22060,HY402811,08/30/2015 02:05:00 AM
22061,HY402725,08/30/2015 03:15:00 AM
22062,HY404385,08/31/2015 11:00:00 AM
22063,HY405177,08/31/2015 09:04:00 PM
22064,HY405238,08/31/2015 10:21:00 PM
22065,HY406264,09/01/2015 09:55:00 PM
22066,HY406754,09/02/2015 01:00:00 AM
22067,HY406781,09/02/2015 01:45:00 AM
22068,HY406845,09/02/2015 02:41:00 AM
22069,HY406845,09/02/2015 02:55:00 AM
22070,HY407022,09/02/2015 09:40:00 AM
22071,HY407978,09/02/2015 09:22:00 PM
22072,HY402928,09/02/2015 12:04:00 PM
22073,HY408008,09/02/2015 10:33:00 PM
22074,HY407689,09/02/2015 06:03:00 PM
22075,HY408120,09/02/2015 11:50:00 PM
22077,HY408225,09/03/2015 05:35:00 AM
22078,HY410760,09/04/2015 10:35:00 PM
22080,HY410903,09/05/2015 04:39:00 AM
22081,HY410924,09/05/2015 12:21:00 AM
22082,HY412263,09/06/2015 02:29:00 AM
22083,HY412330,09/06/2015 03:02:00 AM
22085,HY414436,09/07/2015 08:26:00 PM
22090,HY317118,06/26/2015 07:00:00 AM
22086,HY413844,09/07/2015 12:16:00 PM
22087,HY414739,09/08/2015 05:10:00 AM
22088,HY416191,09/09/2015 06:20:00 AM
22089,HY418059,09/10/2015 03:20:00 PM
22091,HY422047,09/13/2015 07:48:00 PM
22092,HY422170,09/14/2015 12:30:00 AM
22094,HY422267,09/14/2015 02:11:00 AM
22095,HY423657,09/14/2015 11:04:00 PM
22096,HY422355,09/14/2015 12:43:00 AM
22097,HY423835,09/15/2015 04:48:00 AM
22098,HY426270,09/16/2015 10:25:00 PM
22099,HY425242,09/16/2015 08:00:00 AM
22100,HY400038,08/28/2015 09:20:00 PM
22101,HY427585,09/18/2015 12:05:00 AM
22102,HY429510,09/19/2015 10:55:00 AM
22103,HY430052,09/19/2015 06:47:00 PM
22104,HY430167,09/19/2015 08:01:00 PM
22105,HY430656,09/20/2015 07:04:00 AM
22106,HY430544,09/20/2015 04:28:00 AM
22107,HY430817,09/20/2015 11:05:00 AM
22108,HY431514,09/20/2015 09:16:00 PM
22109,HY430209,09/20/2015 10:06:00 PM
22110,HY431578,09/20/2015 10:36:00 PM
22111,HY432757,09/21/2015 07:12:00 PM
22112,HY433852,09/22/2015 04:19:00 PM
22113,HY435847,09/24/2015 12:06:00 AM
22114,HY429076,09/23/2015 06:52:00 PM
22115,HY436629,09/24/2015 04:13:00 PM
22116,HY437443,09/25/2015 09:55:00 AM
22117,HY439020,09/26/2015 12:45:00 PM
22118,HX354510,05/11/2015 06:45:00 AM
22119,HY439900,09/27/2015 05:53:00 AM
22120,HY440415,09/27/2015 02:42:00 PM
22121,HY439941,09/27/2015 03:19:00 PM
22122,HY442160,09/28/2015 08:10:00 PM
22123,HY442160,09/28/2015 08:08:00 PM
22124,HY441412,09/28/2015 11:17:00 AM
22125,HY442430,09/29/2015 01:45:00 AM
22126,HY442430,09/29/2015 01:05:00 AM
22127,HY442430,09/29/2015 03:35:00 AM
22128,HY443182,09/29/2015 02:56:00 PM
22129,HY444358,09/30/2015 02:12:00 PM
22130,HY444338,09/30/2015 03:10:00 PM
22131,HY445645,10/01/2015 10:09:00 PM
22132,HR679297,10/01/2015 08:35:00 PM
22133,HY449587,10/04/2015 08:18:00 PM
22134,HY451886,10/06/2015 08:46:00 PM
22136,HY453219,10/07/2015 05:18:00 PM
22137,HY454710,10/08/2015 08:52:00 PM
22138,HY455431,10/09/2015 01:25:00 PM
22139,HY456343,10/10/2015 03:20:00 AM
22140,HY456368,10/10/2015 04:12:00 AM
22141,HY448756,10/06/2015 06:19:00 PM
22142,HY457542,10/11/2015 05:30:00 AM
22143,HY458595,10/12/2015 03:05:00 AM
22144,HY460909,10/13/2015 09:50:00 PM
22146,HY461959,10/14/2015 05:43:00 PM
22147,HY462383,10/14/2015 11:28:00 PM
22148,HY463786,10/16/2015 01:35:00 AM
22149,HY463892,10/16/2015 08:12:00 AM
22150,HY466381,10/18/2015 02:07:00 AM
22151,HY466977,10/18/2015 04:26:00 PM
22152,HY468621,10/19/2015 09:27:00 PM
22153,HY473963,10/23/2015 09:27:00 PM
22154,HY474220,10/24/2015 12:58:00 AM
22155,HY473471,10/24/2015 03:21:00 AM
22157,HY474981,10/24/2015 05:40:00 PM
22158,HY475493,10/25/2015 02:46:00 AM
22159,HY476639,10/26/2015 03:03:00 AM
22160,HY476607,10/26/2015 01:55:00 AM
22161,HY480705,10/30/2015 02:14:00 PM
22162,HY310631,10/19/2015 12:01:00 AM
22163,HY483064,10/31/2015 01:11:00 AM
22164,HY484627,11/01/2015 11:33:00 AM
22165,HY486445,11/02/2015 04:15:00 PM
22166,HY486607,11/02/2015 06:21:00 PM
22167,HY487514,11/03/2015 01:36:00 PM
22168,HY487916,11/03/2015 07:28:00 PM
22169,HY490839,11/05/2015 08:42:00 PM
22170,HY492138,11/07/2015 12:22:00 AM
22171,HY492469,11/07/2015 03:24:00 AM
22172,HY493451,11/07/2015 09:31:00 PM
22173,HY493495,11/07/2015 11:22:00 PM
22174,HY495347,11/09/2015 02:25:00 PM
22175,HY497309,11/11/2015 07:00:00 AM
22176,HY498291,11/11/2015 10:36:00 PM
22177,HY498323,11/12/2015 12:57:00 AM
22178,HY498680,11/12/2015 11:10:00 AM
22179,HY501231,11/14/2015 01:04:00 PM
22180,HY505611,11/18/2015 12:37:00 AM
22183,HY509513,11/21/2015 01:37:00 AM
22184,HY510470,11/21/2015 08:31:00 PM
22185,HY511115,11/22/2015 05:28:00 PM
22186,HY511394,11/22/2015 08:34:00 PM
22187,HY511439,11/22/2015 09:18:00 PM
22188,HY512586,11/23/2015 06:53:00 PM
22189,HY514161,11/25/2015 02:56:00 AM
22190,HY515241,11/26/2015 12:06:00 AM
22191,HY515665,11/26/2015 02:29:00 PM
22192,HY516152,11/27/2015 05:00:00 AM
22193,HY516538,11/27/2015 01:58:00 PM
22194,HY517759,11/28/2015 05:45:00 PM
22195,HY517997,11/28/2015 09:18:00 PM
22196,HY518079,11/29/2015 12:17:00 AM
22197,HY518110,11/29/2015 02:15:00 AM
22198,HY518961,11/29/2015 08:16:00 PM
22200,HY520411,12/01/2015 01:52:00 AM
22201,HY519962,12/01/2015 06:43:00 PM
22202,HY522926,12/03/2015 05:53:00 AM
22203,G032677,05/30/2015 12:00:00 AM
22204,HY518381,11/29/2015 09:17:00 AM
22205,HY223326,04/15/2015 05:50:00 PM
22206,HY524769,12/04/2015 04:24:00 PM
22207,HY525017,12/04/2015 07:48:00 PM
22208,HY525517,12/05/2015 07:06:00 AM
22209,HY526691,12/06/2015 07:11:00 AM
22212,HY175983,03/08/2015 03:00:00 AM
22213,HY175983,03/22/2015 12:00:00 AM
22214,HY528984,12/09/2015 03:44:00 PM
22215,HY405070,09/14/2015 11:33:00 PM
22216,HY402004,08/29/2015 09:42:00 AM
22217,HY402004,08/29/2015 09:42:00 AM
22218,HY533782,12/11/2015 10:48:00 PM
22219,HY535398,12/13/2015 10:41:00 AM
22220,HV565069,09/26/2015 12:00:00 AM
22221,HY378628,08/11/2015 12:01:00 AM
22222,HY538907,12/16/2015 04:45:00 AM
22223,HY539340,12/17/2015 12:42:00 AM
22224,HY540283,12/17/2015 09:43:00 AM
22225,HY540904,12/17/2015 05:15:00 PM
22226,HY540982,12/17/2015 05:53:00 PM
22227,HY543765,12/20/2015 06:42:00 AM
22228,HY543781,12/20/2015 06:52:00 AM
22229,HY544303,12/21/2015 12:35:00 AM
22230,HY543741,12/21/2015 03:19:00 PM
22231,HY547693,12/23/2015 02:30:00 PM
22232,HY548051,12/23/2015 06:35:00 PM
22234,HY549155,12/24/2015 04:50:00 PM
22236,HY549737,12/25/2015 12:24:00 PM
22237,HY550929,12/26/2015 07:47:00 PM
22238,HY551081,12/26/2015 10:40:00 PM
22239,HY551250,12/27/2015 02:16:00 AM
22240,HY551250,12/27/2015 06:05:00 AM
22242,HY287885,06/08/2015 04:45:00 PM
22243,HY554270,12/29/2015 10:39:00 PM
22244,HY550751,12/28/2015 12:01:00 AM
22248,HY533967,12/15/2015 02:48:00 AM
22257,HY388410,08/19/2015 01:39:00 AM
22258,HY487374,11/03/2015 11:19:00 AM
22265,HY505905,11/18/2015 09:36:00 AM
21981,F218264,07/11/2015 01:45:00 AM
22235,HY549247,12/24/2015 07:09:00 PM
10222837,HY409243,09/03/2015 07:28:12 PM
22182,HY509229,11/20/2015 09:08:00 PM